Age,Income,CreditScore,AccountTenure,MonthlySpending,TransactionFrequency,AvgAccountBalance,NumProducts,AppUsageScore,SupportCalls
59,58619.54970007545,720.2888360604151,14,1641.0390847102735,70,21084.2364534822,5,4.086028822140817,6
49,56248.42671459496,719.6853670450008,17,2207.0321004288035,67,24954.695819478235,4,4.7653201911880645,11
35,62503.09394125777,705.4683856548746,18,2028.715164653849,91,12102.721864892126,5,9.36052062015361,6
63,64592.9035387596,669.9143920420853,3,2218.7558521661563,45,24764.17942150915,4,9.196766314643325,4
28,40687.64800245697,704.2948459375477,2,2474.2881355281233,90,21801.737192261236,2,7.441088321103192,9
41,42931.71920500691,677.4598605081057,1,2465.9105652482026,62,21923.440756603148,6,8.96214139679519,7
59,60911.843289401,686.7857682692143,10,1353.4162032745674,102,20485.3482924003,7,3.876832248288623,1
39,47380.15740252105,623.6403957280436,19,2943.1972253873573,83,52641.398153539456,2,4.429983934074546,1
43,78149.89536834511,682.632497825643,17,2645.256339856821,14,36651.893657001034,5,6.5234096366880525,4
31,60717.89099535399,702.7199740550847,12,3095.8980046599113,19,24430.876353929485,3,6.612633525675378,0
31,97300.06467994949,700.4676388063825,1,442.65513552981156,46,7996.890847276745,1,5.335298542111069,5
44,76409.64876542451,602.7488584364421,12,2688.213092429774,97,15615.01250365304,3,4.60592063594158,3
56,82074.27738781196,685.775646584203,17,200.0,61,44236.822267225085,3,9.875622804478256,5
60,62651.32135929572,593.3666253521652,3,2289.3149266281034,91,11555.93805749744,1,8.39011263505952,6
44,63147.230025805926,690.4205987683116,11,3289.523551303691,21,17514.055502968018,6,4.914821780992407,2
23,94626.41159818353,637.9197685038372,17,3754.9349819228382,64,16678.95011578387,2,7.545632295156116,10
42,52434.14232925941,782.3385765515267,3,2901.352076916406,13,25518.309157377742,2,3.4260552392721353,7
22,70935.5870833048,687.1545997577534,8,3310.4688823515867,118,13450.302840718534,6,1.9015239361359688,6
44,54675.249356770844,728.0698411894354,4,2141.1940455010485,40,22652.870122223827,1,4.171879229974666,0
64,54627.27883225394,806.6523582214568,7,1888.9986760900451,77,13785.24658022564,4,4.626755201110548,5
50,36622.0746851656,630.9558913346767,14,5731.309795028472,84,39717.66049297598,3,1.148834121046037,6
58,45149.71298286119,706.1404946543547,14,3492.592374238253,40,9705.835633490096,5,8.333128014723064,10
22,41434.61097167099,608.8453394460292,4,1092.419378241528,52,34664.672671826534,2,4.232740621502634,3
41,71887.3761784634,700.6938204949952,16,418.4032941604114,55,11222.962155145016,6,6.223763492021323,1
53,80804.11856447325,785.9425559870242,1,1941.9166611237092,101,7193.805081788871,5,1.6656686854386038,9
32,58104.93252843195,642.3270071334927,17,3930.242207570398,99,9488.10880265117,7,2.5749714587552557,8
42,64592.558603273064,626.8427412023242,10,2558.4869848345215,74,500.0,1,9.00724352794804,6
64,56950.57289789808,674.5295459888862,16,200.0,78,26578.9766957646,5,6.478187750945207,0
45,43784.481602140295,802.7490372852972,16,2287.247892172111,84,2540.3583571534364,5,9.55255645153437,7
47,77245.26049593757,726.2623351971953,8,2497.118139701738,72,14631.207086110906,3,9.988750309521853,2
62,73050.69387518958,625.7051208766394,7,200.0,26,31424.32396398145,1,4.34674103799785,3
48,22149.080293920728,767.3036349489062,6,2528.9993824602284,81,30940.290196169517,5,3.6892275767494715,11
36,54337.81997529493,580.6962204600088,16,1283.9583908904112,84,500.0,2,8.725204496431871,4
35,42359.453175851435,808.1935477281635,16,297.34430705402156,97,24658.153698964063,1,9.987502843337088,0
64,52181.2286066955,731.3870408009095,7,4425.409096198482,10,37107.40973462384,2,6.6667711080921155,5
23,46591.36865907481,785.8134464004031,9,1230.8773590580865,30,10447.356347152041,6,8.156266502603701,9
57,59071.592585172,581.1321134969579,14,1699.2583174524625,79,27703.59992002744,6,8.03571272933747,5
27,53401.70529733052,690.1665098515812,11,1683.3005367199862,92,2850.805913081913,7,4.198057373975923,1
41,52977.18612358322,671.966664406057,14,2502.686501109163,97,25784.85429855485,4,6.168433422313785,10
29,82147.76856677426,619.5812315932016,7,4619.572728467048,7,21969.070419944866,6,8.497512471377922,9
59,71143.57321338498,602.2385827849165,1,1064.575755716882,56,29917.20433738179,5,7.193024886349499,5
38,45922.10699399133,710.4248755255729,13,2131.835782661686,78,28987.191303330583,1,1.1904743258383443,7
24,48889.06534373158,715.8639024868174,3,2645.034254831678,64,500.0,6,4.030351020077802,5
45,69835.86110799226,757.9984428035452,4,1457.4499034085934,67,22048.29861116289,2,2.3002812693514483,3
34,69808.39143405533,649.7947368003902,11,2112.5363145056726,69,41793.70466410807,5,3.0967499087023516,3
29,47924.39521875862,671.5034113906514,2,3213.399768099469,56,500.0,6,9.14940529742193,8
46,55320.18666195671,597.0524045032345,14,1593.1540159522087,111,34503.89170793098,3,1.3320396001969135,5
22,96936.12080173937,772.447148719685,12,2093.6289895237846,94,44025.57649443632,2,2.978206407657314,7
40,48269.03822957314,684.1728852654346,17,1982.375287696857,80,500.0,7,3.786124170144083,7
48,98216.0917691757,723.3553100972064,12,2375.4319826387955,18,9939.513932787822,7,6.551956647697553,6
27,82073.3388505161,725.4743237666607,12,2791.782057547891,93,27766.149829257978,7,5.8069152107727895,2
64,94508.32550110931,767.5464294381187,1,3203.8729217282544,76,6708.123262795387,2,2.9644253456804748,9
28,47418.560558611425,630.1160319639528,13,4825.065162354806,111,40468.68775468044,7,2.4781696050083903,0
55,56628.88251874478,721.8551960208307,14,200.0,72,35883.443986341066,4,3.131182311365069,4
34,51016.72382448874,678.4994776214575,2,2299.13039295347,32,500.0,3,5.5227666403149005,9
37,82535.06383852406,806.3406239804378,12,862.6767133093686,75,8854.128501034806,4,3.440600071400831,9
56,48646.32454655821,629.938149260239,16,2037.5559992189146,14,31547.55232752532,6,9.528422514469499,1
60,74624.30986685747,750.2855808658323,4,3557.040796832893,119,30959.89104120992,3,5.174786992859628,11
24,73565.98822384082,701.0205067537038,8,3937.3510265708537,61,53276.600529545576,2,1.5291641489017336,9
22,59039.40938571647,697.8713656523613,2,3993.65749218209,104,6801.766918257774,4,7.563397652529701,1
26,85973.19468328671,683.2412435628494,10,3982.3510178205083,70,41888.267592079865,5,3.9596075938809063,6
62,62153.5973945321,760.7999493702073,9,2291.2779140554862,94,6291.290828546455,3,6.881400388524228,10
24,76681.71437216605,695.8311020644361,15,4178.236329648596,54,27504.81398683807,2,3.516349334709088,2
49,50105.93262164435,588.5350797127414,13,4416.219753527011,18,33385.13662339226,1,6.136693675599879,7
38,45531.2637178635,753.1702141227347,17,2666.5605454498123,20,500.0,3,7.949372543267182,8
46,74622.91058515216,742.1721099279033,16,3912.6839218810765,58,33668.09447124173,3,9.352078675970986,7
64,68616.80488667497,715.2282610527709,2,2549.484422219894,47,40768.54536574079,6,3.3501442998976936,5
54,64866.15328256731,612.2915822151472,14,4192.279018661055,46,36438.22630210614,5,4.0137125589908305,4
